Plate,Time,Plate_replicate,Well,Well_replicate,Type,Abs
P_1032,15,B,D3,A,Unknown,2.4489
P_1032,15,B,D4,A,Unknown,2.1613
P_1032,15,B,D5,A,Unknown,0.49572
P_1032,15,B,D6,A,Blank,0.084725
P_1032,15,B,E1,A,Unknown,0.94098
P_1032,15,B,E2,A,Unknown,2.4108
P_1032,15,B,E3,A,Unknown,1.9417
P_1032,15,B,E4,A,Unknown,0.95255
P_1032,15,B,E5,A,Unknown,1.9599
P_1032,15,B,E6,A,Blank,0.08457
P_1032,15,B,F1,A,Unknown,2.9156
P_1032,15,B,F2,A,Unknown,2.7239
P_1032,15,B,F3,A,Unknown,1.6233
P_1032,15,B,F4,A,Unknown,1.6647
P_1032,15,B,F5,A,Unknown,1.4649
P_1032,15,B,F6,A,Negative,0.10427
P_1032,15,B,G1,A,Unknown,2.7708
P_1032,15,B,G2,A,Unknown,2.2047
P_1032,15,B,G3,A,Unknown,2.053
P_1032,15,B,G4,A,Unknown,2.0784
P_1032,15,B,G5,A,Unknown,2.3089
P_1032,15,B,G6,A,Positive,2.2353
P_1032,15,B,H1,A,Unknown,2.7677
P_1032,15,B,H2,A,Unknown,1.081
P_1032,15,B,H3,A,Unknown,2.6612
P_1032,15,B,H4,A,Unknown,1.8234
P_1032,15,B,H5,A,Unknown,2.2102
P_1032,15,B,H6,A,Positive,2.3967
P_1032,15,B,A7,B,Unknown,1.4766
P_1032,15,B,A8,B,Unknown,2.0079
P_1032,15,B,A9,B,Unknown,1.8743
P_1032,15,B,A10,B,Unknown,2.7784
P_1032,15,B,A11,B,Unknown,1.3367
P_1032,15,B,A12,B,Blank,0.13278
P_1032,15,B,B7,B,Unknown,0.87229
P_1032,15,B,B8,B,Unknown,2.3109
P_1032,15,B,B9,B,Unknown,1.5125
P_1032,15,B,B10,B,Unknown,2.4608
P_1032,15,B,B11,B,Unknown,1.3781
P_1032,15,B,B12,B,Blank,0.10635
P_1032,15,B,C7,B,Unknown,0.72495
P_1032,15,B,C8,B,Unknown,2.2245
P_1032,15,B,C9,B,Unknown,1.7278
P_1032,15,B,C10,B,Unknown,2.3037
P_1032,15,B,C11,B,Unknown,1.9726
P_1032,15,B,C12,B,Blank,0.11237
P_1032,15,B,D7,B,Unknown,2.2994
P_1032,15,B,D8,B,Unknown,2.2758
P_1032,15,B,D9,B,Unknown,2.3717
P_1032,15,B,D10,B,Unknown,2.1747
P_1032,15,B,D11,B,Unknown,0.44826
P_1032,15,B,D12,B,Blank,0.099422
P_1032,15,B,E7,B,Unknown,0.62934
P_1032,15,B,E8,B,Unknown,2.1559
P_1032,15,B,E9,B,Unknown,1.7504
P_1032,15,B,E10,B,Unknown,0.85478
P_1032,15,B,E11,B,Unknown,1.9113
