Plate_replicate,Well_replicate,Type,Outcome,Well,Abs
B,A,Unknown,Not detected,H2/H8,0.095594
B,A,Unknown,Not detected,A3/A9,0.098501
B,A,Unknown,Not detected,B3/B8,0.10595
B,A,Unknown,Not detected,C3/C9,0.14541
B,A,Unknown,Not detected,D3/D9,0.10472
B,A,Unknown,Not detected,E3/E9,0.094531
B,A,Unknown,Not detected,F3/F9,0.10316
B,A,Unknown,Not detected,G3/G9,0.084489
B,A,Unknown,Not detected,H3/H9,0.10569
B,A,Unknown,Not detected,A4/A10,0.076726
B,A,Unknown,Not detected,B4/B10,0.082547
B,A,Unknown,Not detected,C4/C10,0.13012
B,A,Unknown,Not detected,D4/D10,0.088061
B,A,Unknown,Not detected,E4/E10,0.073371
B,A,Unknown,Not detected,F4/F10,0.13612
B,A,Unknown,Not detected,G4/G10,0.091084
B,A,Unknown,Not detected,H4/H10,0.10569
B,A,Unknown,Not detected,A5/A11,0.11868
B,A,Unknown,Not detected,B5/B11,0.088884
B,A,Unknown,Not detected,C5/C11,0.096663
B,A,Unknown,Not detected,D5/D11,0.083028
B,A,Unknown,Not detected,E5/E11,0.084823
B,A,Unknown,Not detected,F5/F11,0.10039
B,A,Unknown,Not detected,G5/G11,0.11565
B,A,Unknown,Not detected,H5/H11,0.14653
B,A,Blank,Not detected,A6/A12,0.080172
B,A,Blank,Not detected,B6/B12,0.069893
B,A,Blank,Not detected,C6/C12,0.065932
B,A,Blank,Not detected,D6/D12,0.075122
B,A,Blank,Not detected,E6/E12,0.064633
B,A,Negative,Not detected,F6/F12,0.087781
B,A,Positive,Not detected,G6/G12,2.1216
B,A,Positive,Not detected,H6/H12,2.1481
B,B,Unknown,Not detected,A1/A7,0.083862
B,B,Unknown,Not detected,B1/B7,0.077854
B,B,Unknown,Not detected,C1/C7,0.098103
B,B,Unknown,Not detected,D1/D7,0.075092
B,B,Unknown,Not detected,E1/E7,0.093425
B,B,Unknown,Not detected,F1/F7,0.079266
B,B,Unknown,Not detected,G1/G7,0.091545
B,B,Unknown,Not detected,H1/H7,0.088969
B,B,Unknown,Not detected,A2/A8,0.09096
B,B,Unknown,Not detected,B2/B8,0.082442
B,B,Unknown,Not detected,C2/C8,0.077117
B,B,Unknown,Not detected,D2/D8,0.077576
B,B,Unknown,Not detected,E2/E8,0.3712
B,B,Unknown,Not detected,F2/F8,0.13091
B,B,Unknown,Not detected,G2/G8,0.11853
B,B,Unknown,Not detected,H2/H8,0.14751
B,B,Unknown,Not detected,A3/A9,0.094661
B,B,Unknown,Not detected,B3/B8,0.087173
B,B,Unknown,Not detected,C3/C9,0.13627
B,B,Unknown,Not detected,D3/D9,0.10043
B,B,Unknown,Not detected,E3/E9,0.10491
B,B,Unknown,Not detected,F3/F9,0.11608
B,B,Unknown,Not detected,G3/G9,0.07782
B,B,Unknown,Not detected,H3/H9,0.0929
B,B,Unknown,Not detected,A4/A10,0.083571
B,B,Unknown,Not detected,B4/B10,0.078221
B,B,Unknown,Not detected,C4/C10,0.13015
B,B,Unknown,Not detected,D4/D10,0.09927
B,B,Unknown,Not detected,E4/E10,0.074617
B,B,Unknown,Not detected,F4/F10,0.12754
B,B,Unknown,Not detected,G4/G10,0.08252
B,B,Unknown,Not detected,H4/H10,0.12871
B,B,Unknown,Not detected,A5/A11,0.096754
B,B,Unknown,Not detected,B5/B11,0.075645
B,B,Unknown,Not detected,C5/C11,0.099069
B,B,Unknown,Not detected,D5/D11,0.078194
B,B,Unknown,Not detected,E5/E11,0.094028
B,B,Unknown,Not detected,F5/F11,0.085231
B,B,Unknown,Not detected,G5/G11,0.13059
B,B,Unknown,Not detected,H5/H11,0.14685
B,B,Blank,Not detected,A6/A12,0.062854
B,B,Blank,Not detected,B6/B12,0.065722
B,B,Blank,Not detected,C6/C12,0.071383
B,B,Blank,Not detected,D6/D12,0.072754
B,B,Blank,Not detected,E6/E12,0.094206
B,B,Negative,Not detected,F6/F12,0.15236
B,B,Positive,Not detected,G6/G12,2.7014
B,B,Positive,Not detected,H6/H12,2.6723
C,A,Unknown,Not detected,A1/A7,0.085658
C,A,Unknown,Not detected,B1/B7,0.082167
C,A,Unknown,Not detected,C1/C7,0.13846
C,A,Unknown,Not detected,D1/D7,0.075289
C,A,Unknown,Not detected,E1/E7,0.071228
C,A,Unknown,Not detected,F1/F7,0.08192
C,A,Unknown,Not detected,G1/G7,0.084471
C,A,Unknown,Not detected,H1/H7,0.092432
C,A,Unknown,Not detected,A2/A8,0.096481
C,A,Unknown,Not detected,B2/B8,0.072506
C,A,Unknown,Not detected,C2/C8,0.079803
C,A,Unknown,Not detected,D2/D8,0.091469
C,A,Unknown,Not detected,E2/E8,0.5054
C,A,Unknown,Not detected,F2/F8,0.13328
C,A,Unknown,Not detected,G2/G8,0.088973
C,A,Unknown,Not detected,H2/H8,0.083068
C,A,Unknown,Not detected,A3/A9,0.075514
C,A,Unknown,Not detected,B3/B8,0.077135
C,A,Unknown,Not detected,C3/C9,0.084221
C,A,Unknown,Not detected,D3/D9,0.097001
C,A,Unknown,Not detected,E3/E9,0.092919
C,A,Unknown,Not detected,F3/F9,0.085022
C,A,Unknown,Not detected,G3/G9,0.070364
C,A,Unknown,Not detected,H3/H9,0.059077
C,A,Unknown,Not detected,A4/A10,0.072646
C,A,Unknown,Not detected,B4/B10,0.07228
C,A,Unknown,Not detected,C4/C10,0.14851
C,A,Unknown,Not detected,D4/D10,0.076804
C,A,Unknown,Not detected,E4/E10,0.069938
C,A,Unknown,Not detected,F4/F10,0.12589
C,A,Unknown,Not detected,G4/G10,0.068416
C,A,Unknown,Not detected,H4/H10,0.073615
C,A,Unknown,Not detected,A5/A11,0.097919
C,A,Unknown,Not detected,B5/B11,0.066696
C,A,Unknown,Not detected,C5/C11,0.093121
C,A,Unknown,Not detected,D5/D11,0.074004
C,A,Unknown,Not detected,E5/E11,0.06886
C,A,Unknown,Not detected,F5/F11,0.082814
C,A,Unknown,Not detected,G5/G11,0.091443
C,A,Unknown,Not detected,H5/H11,0.14735
C,A,Blank,Not detected,A6/A12,0.058404
C,A,Blank,Not detected,B6/B12,0.059261
C,A,Blank,Not detected,C6/C12,0.060732
C,A,Blank,Not detected,D6/D12,0.058612
C,A,Blank,Not detected,E6/E12,0.058759
C,A,Negative,Not detected,F6/F12,0.087857
C,A,Positive,Not detected,G6/G12,2.3436
C,A,Positive,Not detected,H6/H12,2.2108
C,B,Unknown,Not detected,A1/A7,0.070909
C,B,Unknown,Not detected,B1/B7,0.070141
C,B,Unknown,Not detected,C1/C7,0.10826
C,B,Unknown,Not detected,D1/D7,0.067476
C,B,Unknown,Not detected,E1/E7,0.066984
C,B,Unknown,Not detected,F1/F7,0.068058
C,B,Unknown,Not detected,G1/G7,0.078948
C,B,Unknown,Not detected,H1/H7,0.07461
C,B,Unknown,Not detected,A2/A8,0.097206
C,B,Unknown,Not detected,B2/B8,0.068292
C,B,Unknown,Not detected,C2/C8,0.072799
C,B,Unknown,Not detected,D2/D8,0.074042
C,B,Unknown,Not detected,E2/E8,0.34009
C,B,Unknown,Not detected,F2/F8,0.11532
C,B,Unknown,Not detected,G2/G8,0.085482
C,B,Unknown,Not detected,H2/H8,0.08063
C,B,Unknown,Not detected,A3/A9,0.079883
C,B,Unknown,Not detected,B3/B8,0.084191
C,B,Unknown,Not detected,C3/C9,0.084738
C,B,Unknown,Not detected,D3/D9,0.080508
C,B,Unknown,Not detected,E3/E9,0.07498
C,B,Unknown,Not detected,F3/F9,0.077124
C,B,Unknown,Not detected,G3/G9,0.065604
C,B,Unknown,Not detected,H3/H9,0.058874
C,B,Unknown,Not detected,A4/A10,0.069391
C,B,Unknown,Not detected,B4/B10,0.078575
C,B,Unknown,Not detected,C4/C10,0.15942
C,B,Unknown,Not detected,D4/D10,0.080737
C,B,Unknown,Not detected,E4/E10,0.071159
C,B,Unknown,Not detected,F4/F10,0.14049
C,B,Unknown,Not detected,G4/G10,0.069528
C,B,Unknown,Not detected,H4/H10,0.077901
C,B,Unknown,Not detected,A5/A11,0.17125
C,B,Unknown,Not detected,B5/B11,0.079365
C,B,Unknown,Not detected,C5/C11,0.084449
C,B,Unknown,Not detected,D5/D11,0.069812
C,B,Unknown,Not detected,E5/E11,0.064284
C,B,Unknown,Not detected,F5/F11,0.074666
C,B,Unknown,Not detected,G5/G11,0.082709
C,B,Unknown,Not detected,H5/H11,0.10858
C,B,Blank,Not detected,A6/A12,0.071891
C,B,Blank,Not detected,B6/B12,0.059154
C,B,Blank,Not detected,C6/C12,0.058723
C,B,Blank,Not detected,D6/D12,0.064957
